"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
3,1961,372,0,"M",0,"M"
3,1962,372,0,"M",0,"M"
3,1963,372,0,"M",0,"M"
3,1964,372,0,"M",0,"M"
3,1965,372,0,"M",0,"M"
3,1966,372,0,"M",0,"M"
3,1967,372,0,"M",0,"M"
3,1968,372,0,"M",0,"M"
3,1969,372,0,"M",0,"M"
3,1970,372,0,"M",0,"M"
3,1971,372,0,"M",0,"M"
3,1972,372,0,"M",0,"M"
3,1973,372,0,"M",0,"M"
3,1974,372,0,"M",0,"M"
3,1975,372,0,"M",0,"M"
3,1976,372,0,"M",0,"M"
3,1977,372,0,"M",0,"M"
3,1978,372,0,"M",0,"M"
3,1979,372,0,"M",0,"M"
3,1980,372,0,"M",0,"M"
3,1981,372,0,"M",0,"M"
3,1982,372,0,"M",0,"M"
3,1983,372,0,"M",0,"M"
3,1984,372,0,"M",0,"M"
3,1985,372,0,"M",0,"M"
3,1986,372,0,"M",0,"M"
3,1987,372,0,"M",0,"M"
3,1988,372,0,"M",0,"M"
3,1989,372,0,"M",0,"M"
3,1990,372,0,"M",0,"M"
3,1991,372,0,"M",0,"M"
3,1992,372,0,"M",0,"M"
3,1993,372,0,"M",0,"M"
3,1994,372,0,"M",0,"M"
3,1995,372,0,"M",0,"M"
3,1996,372,0,"M",0,"M"
3,1997,372,0,"M",0,"M"
3,1998,372,0,"M",0,"M"
3,1999,372,0,"M",0,"M"
3,2000,372,0,"M",0,"M"
3,2001,372,0,"M",0,"M"
3,2002,372,0,"M",0,"M"
3,2003,372,0,"M",0,"M"
3,2004,372,0,"M",0,"M"
3,2005,372,0,"M",0,"M"
3,2006,372,307," ",6843," "
3,2007,372,130,"*",2000," "
3,2008,372,390," ",6000," "
3,2009,372,409," ",8675," "
3,2010,372,858," ",8995," "
3,2011,372,900," ",9100," "
10,1961,372,1876," ",21240," "
10,1962,372,1942," ",21733," "
10,1963,372,1952," ",22344," "
10,1964,372,1906," ",22745," "
10,1965,372,2014," ",23677," "
10,1966,372,2042," ",24714," "
10,1967,372,2185," ",25034," "
10,1968,372,2187," ",25279," "
10,1969,372,2249," ",32146," "
10,1970,372,2179," ",35695," "
10,1971,372,2191," ",37673," "
10,1972,372,2183," ",36419," "
10,1973,372,2294," ",35751," "
10,1974,372,1978," ",32555," "
10,1975,372,2289," ",39511," "
10,1976,372,2393," ",47436," "
10,1977,372,2645," ",43085," "
10,1978,372,2789," ",49575," "
10,1979,372,2927," ",51221," "
10,1980,372,3007," ",54482," "
10,1981,372,2925," ",51092," "
10,1982,372,3157," ",58029," "
10,1983,372,3205," ",63232," "
10,1984,372,3500," ",69370," "
10,1985,372,3578," ",75937," "
10,1986,372,3751," ",84041," "
10,1987,372,3914," ",85728," "
10,1988,372,4013," ",88930," "
10,1989,372,4020," ",89232," "
10,1990,372,4073," ",98201," "
10,1991,372,3787," ",100863," "
10,1992,372,3914," ",98992," "
10,1993,372,4000,"F",1e+05,"F"
10,1994,372,4199,"E",116377,"E"
10,1995,372,4012," ",92454," "
10,1996,372,4690," ",107243," "
10,1997,372,4731," ",110834," "
10,1998,372,5714," ",129149," "
10,1999,372,6176," ",131140," "
10,2000,372,5170," ",151946," "
10,2001,372,5758," ",152742," "
10,2002,372,5970," ",135015," "
10,2003,372,6134," ",121508," "
10,2004,372,6121," ",127228," "
10,2005,372,5720," ",132000," "
10,2006,372,8053," ",162832," "
10,2007,372,10011," ",271251," "
10,2008,372,7307," ",168707," "
10,2009,372,7411," ",164543," "
10,2010,372,7900,"E",166100,"E"
10,2011,372,9071," ",144637," "
11,1961,372,318," ",7666," "
11,1962,372,318," ",6861," "
11,1963,372,216," ",5394," "
11,1964,372,372," ",9339," "
11,1965,372,223," ",4799," "
11,1966,372,363," ",9966," "
11,1967,372,309," ",8592," "
11,1968,372,406," ",9703," "
11,1969,372,599," ",13873," "
11,1970,372,601," ",13687," "
11,1971,372,685," ",15246," "
11,1972,372,762," ",19612," "
11,1973,372,775," ",19522," "
11,1974,372,869," ",21719," "
11,1975,372,1061," ",28054," "
11,1976,372,706," ",15149," "
11,1977,372,753," ",19811," "
11,1978,372,1023," ",27514," "
11,1979,372,1109," ",28267," "
11,1980,372,1187," ",32112," "
11,1981,372,1259," ",36500," "
11,1982,372,982," ",30049," "
11,1983,372,609," ",18108," "
11,1984,372,799," ",24605," "
11,1985,372,853," ",25997," "
11,1986,372,889," ",26490," "
11,1987,372,831," ",23401," "
11,1988,372,894," ",28558," "
11,1989,372,924," ",28453," "
11,1990,372,894," ",27141," "
11,1991,372,888," ",26180," "
11,1992,372,586," ",16508," "
11,1993,372,536," ",16183," "
11,1994,372,589," ",29949," "
11,1995,372,800," ",41066," "
11,1996,372,1160," ",48663," "
11,1997,372,1612," ",52406," "
11,1998,372,1800," ",50300," "
11,1999,372,1661," ",53892," "
11,2000,372,1559," ",60501," "
11,2001,372,1586," ",60460," "
11,2002,372,1550," ",60702," "
11,2003,372,1556," ",51163," "
11,2004,372,1537," ",53989," "
11,2005,372,1532," ",56594," "
11,2006,372,1559," ",59072," "
11,2007,372,1635," ",62487," "
11,2008,372,1575," ",57458," "
11,2009,372,1607," ",55158," "
11,2010,372,1472," ",47573," "
11,2011,372,1549," ",47358," "
12,1961,372,0,"M",0,"M"
12,1962,372,0,"M",0,"M"
12,1963,372,0,"M",0,"M"
12,1964,372,0,"M",0,"M"
12,1965,372,0,"M",0,"M"
12,1966,372,0,"M",0,"M"
12,1967,372,0,"M",0,"M"
12,1968,372,0,"M",0,"M"
12,1969,372,0,"M",0,"M"
12,1970,372,0,"M",0,"M"
12,1971,372,0,"M",0,"M"
12,1972,372,0,"M",0,"M"
12,1973,372,0,"M",0,"M"
12,1974,372,0,"M",0,"M"
12,1975,372,0,"M",0,"M"
12,1976,372,0,"M",0,"M"
12,1977,372,0,"M",0,"M"
12,1978,372,0,"M",0,"M"
12,1979,372,0,"M",0,"M"
12,1980,372,0,"M",0,"M"
12,1981,372,0,"M",0,"M"
12,1982,372,0,"M",0,"M"
12,1983,372,0,"M",0,"M"
12,1984,372,0,"M",0,"M"
12,1985,372,0,"M",0,"M"
12,1986,372,0,"M",0,"M"
12,1987,372,0,"M",0,"M"
12,1988,372,0,"M",0,"M"
12,1989,372,0,"M",0,"M"
12,1990,372,0,"M",0,"M"
12,1991,372,0,"M",0,"M"
12,1992,372,0,"M",0,"M"
12,1993,372,0,"M",0,"M"
12,1994,372,0,"M",0,"M"
12,1995,372,0,"M",0,"M"
12,1996,372,0,"M",0,"M"
12,1997,372,0,"M",0,"M"
12,1998,372,0,"M",0,"M"
12,1999,372,0,"M",0,"M"
12,2000,372,0,"M",0,"M"
12,2001,372,0,"M",0,"M"
12,2002,372,0,"M",0,"M"
12,2003,372,0,"M",0,"M"
12,2004,372,0,"M",0,"M"
12,2005,372,0,"M",0,"M"
12,2006,372,0,"M",0,"M"
12,2007,372,0,"M",0,"M"
12,2008,372,0,"M",0,"M"
12,2009,372,0,"M",0,"M"
12,2010,372,7," ",93," "
12,2011,372,7," ",99," "
13,1961,372,0," ",0," "
13,1962,372,0," ",0," "
13,1963,372,0," ",0," "
13,1964,372,0," ",0," "
13,1965,372,0," ",0," "
13,1966,372,0," ",0," "
13,1967,372,0," ",0," "
13,1968,372,0," ",0," "
13,1969,372,0," ",0," "
13,1970,372,0," ",0," "
13,1971,372,0," ",0," "
13,1972,372,0," ",0," "
13,1973,372,0," ",0," "
13,1974,372,14," ",280," "
13,1975,372,14,"F",350,"F"
13,1976,372,14," ",427," "
13,1977,372,15," ",434," "
13,1978,372,17,"F",490,"F"
13,1979,372,20," ",500,"F"
13,1980,372,24," ",500,"F"
13,1981,372,24," ",473," "
13,1982,372,23," ",454," "
13,1983,372,26," ",524," "
13,1984,372,25," ",504," "
13,1985,372,30," ",601," "
13,1986,372,29," ",573," "
13,1987,372,30," ",594," "
13,1988,372,29," ",586," "
13,1989,372,40," ",763," "
13,1990,372,34," ",671," "
13,1991,372,29," ",581," "
13,1992,372,35,"F",653," "
13,1993,372,37," ",550," "
13,1994,372,46," ",922," "
13,1995,372,39," ",774," "
13,1996,372,38," ",760," "
13,1997,372,29," ",520," "
13,1998,372,28," ",553," "
